Freq.	(V(V)/V(I))*-1000
1.81970085861004e+02	(1.19822191294619e+01dB,-8.63754238493573e+01°)
1.83653834334840e+02	(1.19024854877685e+01dB,-8.64028037276307e+01°)
1.85353162341487e+02	(1.18227470738528e+01dB,-8.64298808804730e+01°)
1.87068214036586e+02	(1.17430039756299e+01dB,-8.64566575390691e+01°)
1.88799134909635e+02	(1.16632562794346e+01dB,-8.64831359108647e+01°)
1.90546071796331e+02	(1.15835040701000e+01dB,-8.65093181797910e+01°)
1.92309172891022e+02	(1.15037474309370e+01dB,-8.65352065063032e+01°)
1.94088587759284e+02	(1.14239864437896e+01dB,-8.65608030275908e+01°)
1.95884467350605e+02	(1.13442211890470e+01dB,-8.65861098576911e+01°)
1.97696964011192e+02	(1.12644517456774e+01dB,-8.66111290876080e+01°)
1.99526231496894e+02	(1.11846781912623e+01dB,-8.66358627854846e+01°)
2.01372424986245e+02	(1.11049006019957e+01dB,-8.66603129966961e+01°)
2.03235701093628e+02	(1.10251190527332e+01dB,-8.66844817440171e+01°)
2.05116217882563e+02	(1.09453336170146e+01dB,-8.67083710277424e+01°)
2.07014134879111e+02	(1.08655443670763e+01dB,-8.67319828258134e+01°)
2.08929613085410e+02	(1.07857513738803e+01dB,-8.67553190939573e+01°)
2.10862814993336e+02	(1.07059547071323e+01dB,-8.67783817658065e+01°)
2.12813904598278e+02	(1.06261544353283e+01dB,-8.68011727530399e+01°)
2.14783047413060e+02	(1.05463506257382e+01dB,-8.68236939455230e+01°)
2.16770410481976e+02	(1.04665433444722e+01dB,-8.68459472114024e+01°)
2.18776162394962e+02	(1.03867326564569e+01dB,-8.68679343972449e+01°)
2.20800473301897e+02	(1.03069186254985e+01dB,-8.68896573281940e+01°)
2.22843514927037e+02	(1.02271013142726e+01dB,-8.69111178080402e+01°)
2.24905460583585e+02	(1.01472807843570e+01dB,-8.69323176193914e+01°)
2.26986485188390e+02	(1.00674570962535e+01dB,-8.69532585237495e+01°)
2.29086765276785e+02	(9.98763030941776e+00dB,-8.69739422617127e+01°)
2.31206479017567e+02	(9.90780048225507e+00dB,-8.69943705529904e+01°)
2.33345806228108e+02	(9.82796767214621e+00dB,-8.70145450966029e+01°)
2.35504928389609e+02	(9.74813193549736e+00dB,-8.70344675709595e+01°)
2.37684028662495e+02	(9.66829332771109e+00dB,-8.70541396339954e+01°)
2.39883291901957e+02	(9.58845190323113e+00dB,-8.70735629232867e+01°)
2.42102904673626e+02	(9.50860771557072e+00dB,-8.70927390561550e+01°)
2.44343055269405e+02	(9.42876081729904e+00dB,-8.71116696297772e+01°)
2.46603933723442e+02	(9.34891126008738e+00dB,-8.71303562213254e+01°)
2.48885731828247e+02	(9.26905909470566e+00dB,-8.71488003880397e+01°)
2.51188643150966e+02	(9.18920437106442e+00dB,-8.71670036674006e+01°)
2.53512863049799e+02	(9.10934713819546e+00dB,-8.71849675771526e+01°)
2.55858588690573e+02	(9.02948744430437e+00dB,-8.72026936155014e+01°)
2.58226019063468e+02	(8.94962533676058e+00dB,-8.72201832611577e+01°)
2.60615354999898e+02	(8.86976086213119e+00dB,-8.72374379734639e+01°)
2.63026799189547e+02	(8.78989406618406e+00dB,-8.72544591925148e+01°)
