Freq.	((V(v))/(-V(i)))*1000
3.54813389233573e+04	(6.20418673459748e+00dB,-8.78635263536676e+01°)
3.63078054770098e+04	(6.00454652376057e+00dB,-8.78163777057934e+01°)
3.71535229097170e+04	(5.80492321894374e+00dB,-8.77683187882948e+01°)
3.80189396320558e+04	(5.60531761154317e+00dB,-8.77193419432249e+01°)
3.89045144994277e+04	(5.40573052972411e+00dB,-8.76694403248232e+01°)
3.98107170553494e+04	(5.20616283983896e+00dB,-8.76186079672519e+01°)
4.07380277804109e+04	(5.00661544845650e+00dB,-8.75668398932445e+01°)
4.16869383470332e+04	(4.80708930413481e+00dB,-8.75141322220555e+01°)
4.26579518801589e+04	(4.60758539904867e+00dB,-8.74604822882430e+01°)
4.36515832240162e+04	(4.40810477168993e+00dB,-8.74058887523850e+01°)
4.46683592150959e+04	(4.20864850789159e+00dB,-8.73503517481793e+01°)
4.57088189614871e+04	(4.00921774368646e+00dB,-8.72938730019859e+01°)
4.67735141287194e+04	(3.80981366756042e+00dB,-8.72364560235939e+01°)
4.78630092322634e+04	(3.61043752245592e+00dB,-8.71781062314067e+01°)
4.89778819368442e+04	(3.41109060851731e+00dB,-8.71188311800476e+01°)
5.01187233627268e+04	(3.21177428544405e+00dB,-8.70586407088486e+01°)
5.12861383991360e+04	(3.01248997533739e+00dB,-8.69975471962289e+01°)
5.24807460249768e+04	(2.81323916541886e+00dB,-8.69355657377997e+01°)
5.37031796370248e+04	(2.61402341082126e+00dB,-8.68727144363122e+01°)
5.49540873857620e+04	(2.41484433798288e+00dB,-8.68090146439852e+01°)
5.62341325190344e+04	(2.21570364754589e+00dB,-8.67444912377751e+01°)
5.75439937337152e+04	(2.01660311790974e+00dB,-8.66791729433900e+01°)
5.88843655355584e+04	(1.81754460860448e+00dB,-8.66130926519878e+01°)
6.02559586074353e+04	(1.61853006426892e+00dB,-8.65462877869209e+01°)
6.16595001861477e+04	(1.41956151838237e+00dB,-8.64788006839073e+01°)
6.30957344480188e+04	(1.22064109746966e+00dB,-8.64106789880099e+01°)
6.45654229034650e+04	(1.02177102554676e+00dB,-8.63419761158681e+01°)
6.60693448007590e+04	(8.22953628821541e-01dB,-8.62727517312461e+01°)
6.76082975391976e+04	(6.24191340750760e-01dB,-8.62030722472419e+01°)
6.91830970918930e+04	(4.25486707389344e-01dB,-8.61330113987072e+01°)
7.07945784384132e+04	(2.26842393139836e-01dB,-8.60626508246569e+01°)
7.24435960074984e+04	(2.82611871740955e-02dB,-8.59920807202335e+01°)
7.41310241300911e+04	(-1.70253989943935e-01dB,-8.59214005061077e+01°)
7.58577575029177e+04	(-3.68700078542416e-01dB,-8.58507196176829e+01°)
7.76247116628685e+04	(-5.67073871902553e-01dB,-8.57801582440313e+01°)
7.94328234724274e+04	(-7.65372006696956e-01dB,-8.57098482525832e+01°)
8.12830516164092e+04	(-9.63590953537987e-01dB,-8.56399340505792e+01°)
8.31763771102663e+04	(-1.16172700498328e+00dB,-8.55705736339627e+01°)
8.51138038202369e+04	(-1.35977626318041e+00dB,-8.55019396263785e+01°)
8.70963589956073e+04	(-1.55773462517785e+00dB,-8.54342204356878e+01°)
8.91250938133737e+04	(-1.75559776672738e+00dB,-8.53676214967525e+01°)
9.12010839355901e+04	(-1.95336112309614e+00dB,-8.53023665924557e+01°)
9.33254300796982e+04	(-2.15101986786505e+00dB,-8.52386992806781e+01°)
9.54992586021427e+04	(-2.34856888752859e+00dB,-8.51768844317198e+01°)
9.77237220955802e+04	(-2.54600275292837e+00dB,-8.51172098660619e+01°)
1.00000000000000e+05	(-2.74331568530513e+00dB,-8.50599881356635e+01°)
